id,domain,task_difficulty,time_to_reward_days,past_failure_loops,self_efficacy_score,emotional_valence,social_pressure,task_clarity,time_available_hrs,distraction_level,perfectionism_score,reward_proximity,failure_weight,clarity_gap,delay_score,delay_label,primary_delay_cause,nudge_recommendation,acted
28,Fitness,1.83,154.9,4,1.4,-1.66,1.31,9.82,1.18,4.98,7.35,0.0064,3.44,0.18,43.81,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
29,Health Checkup,1.09,27.9,11,9.14,0.46,8.35,6.24,1.1,2.15,3.77,0.0346,0.946,3.76,15.26,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
30,Fitness,9.09,77.1,3,7.0,-1.46,5.6,8.87,5.85,7.75,9.33,0.0128,0.9,1.13,46.53,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
31,Studying,8.78,356.3,12,2.59,-0.88,1.79,9.32,4.75,4.71,7.03,0.0028,8.892,0.68,95.19,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
32,Creative Project,8.3,97.8,12,7.31,-1.17,0.39,5.24,1.4,9.27,4.15,0.0101,3.228,4.76,76.2,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
33,Studying,3.01,241.1,6,3.95,3.64,9.67,3.51,3.94,4.6,9.83,0.0041,3.63,6.49,54.51,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
34,Health Checkup,3.98,10.6,4,2.61,4.63,2.65,1.98,2.75,7.56,3.82,0.0862,2.956,8.02,52.27,Medium,Ambiguity / Unclear Next Step,Write the very next physical action in one sentence.,0
35,Health Checkup,9.86,42.7,9,2.71,-4.56,4.36,5.68,4.89,7.18,9.46,0.0229,6.561,4.32,91.83,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
36,Creative Project,7.04,133.3,1,9.54,4.21,6.23,6.97,0.97,9.1,5.56,0.0074,0.046,3.03,27.27,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
37,Creative Project,4.68,147.2,4,5.99,-3.08,6.65,4.41,4.55,2.57,6.12,0.0067,1.604,5.59,35.77,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
38,Finance,5.93,0.6,4,2.89,2.86,6.07,3.9,2.79,7.08,5.6,0.625,2.844,6.1,42.6,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
39,Creative Project,2.53,31.4,8,6.97,1.19,0.93,9.57,1.6,3.79,8.26,0.0309,2.424,0.43,27.36,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
40,Studying,1.22,89.7,7,6.5,2.68,4.55,8.98,3.56,7.47,4.46,0.011,2.45,1.02,26.79,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
41,Finance,3.2,239.6,0,9.03,3.6,8.85,8.01,1.51,8.24,7.26,0.0042,0.0,1.99,26.62,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
42,Finance,1.45,91.3,1,5.11,3.01,6.68,9.89,3.67,9.55,9.02,0.0108,0.489,0.11,20.52,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
43,Health Checkup,8.34,325.6,6,8.48,0.48,8.97,7.69,2.98,3.33,3.23,0.0031,0.912,2.31,41.26,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
44,Creative Project,3.5,284.0,7,6.64,-2.25,0.77,3.57,1.81,3.88,5.86,0.0035,2.352,6.43,63.32,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
45,Studying,2.36,140.1,2,7.36,-4.36,4.08,5.88,2.64,2.86,4.78,0.0071,0.528,4.12,31.3,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
46,Health Checkup,9.51,7.6,12,6.18,-0.23,9.43,3.69,2.49,9.02,8.52,0.1163,4.584,6.31,73.05,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
47,Health Checkup,7.73,199.6,9,9.08,-0.12,2.73,5.37,2.49,7.02,8.18,0.005,0.828,4.63,66.01,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
48,Creative Project,2.49,170.9,2,9.83,0.34,9.07,6.33,4.06,1.76,4.86,0.0058,0.034,3.67,0.0,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
49,Finance,2.64,95.3,5,2.9,-1.73,7.61,4.41,4.57,8.49,3.27,0.0104,3.55,5.59,42.99,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
50,Fitness,5.23,273.5,0,10.0,-1.5,6.5,8.03,4.0,7.79,9.55,0.0036,0.0,1.97,29.24,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
51,Studying,8.55,227.0,3,2.14,1.69,5.64,2.96,4.27,7.9,2.51,0.0044,2.358,7.04,67.57,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
52,Health Checkup,9.67,262.3,12,8.37,4.65,1.08,1.23,2.04,7.1,9.62,0.0038,1.956,8.77,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
53,Finance,9.47,72.8,9,7.22,1.27,1.02,7.95,5.14,6.4,2.09,0.0136,2.502,2.05,54.82,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
54,Health Checkup,8.04,127.1,6,6.95,-4.31,6.48,1.11,2.67,5.41,4.9,0.0078,1.83,8.89,65.12,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
55,Career Choice,6.72,302.6,11,2.38,-3.24,5.22,6.85,3.79,9.28,7.97,0.0033,8.382,3.15,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
56,Finance,4.92,267.0,4,3.9,-2.55,9.35,3.51,2.84,7.75,6.13,0.0037,2.44,6.49,59.28,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
57,Creative Project,4.41,11.0,5,2.64,-2.88,7.98,4.06,5.31,7.31,3.49,0.0833,3.68,5.94,39.47,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
58,Fitness,5.65,70.1,3,7.48,-0.11,7.58,7.22,3.96,5.42,8.14,0.0141,0.756,2.78,25.42,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
59,Fitness,3.65,147.9,3,3.76,0.82,4.73,5.78,2.7,7.71,3.98,0.0067,1.872,4.22,42.17,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
60,Creative Project,5.08,112.3,3,2.09,-3.07,1.2,5.82,4.63,2.67,2.95,0.0088,2.373,4.18,38.75,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
61,Finance,3.49,215.4,12,5.72,-2.17,1.01,2.75,1.56,2.61,1.13,0.0046,5.136,7.25,62.86,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
62,Health Checkup,2.14,17.1,0,5.98,1.97,1.26,8.82,3.07,8.85,6.17,0.0552,0.0,1.18,14.47,Low,External Distractions,"Environment design: phone in another room, website blockers.",1
63,Finance,5.31,124.7,0,3.27,3.62,1.14,1.59,3.08,6.19,7.18,0.008,0.0,8.41,55.95,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
64,Studying,2.34,205.7,4,1.77,-2.52,5.58,4.75,3.68,6.57,7.98,0.0048,3.292,5.25,59.22,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
65,Finance,5.05,161.9,9,9.91,-1.95,6.21,6.49,4.51,9.53,2.87,0.0061,0.081,3.51,43.48,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
66,Studying,3.38,30.1,3,2.56,-4.25,0.03,5.05,3.66,3.62,3.08,0.0322,2.232,4.95,31.02,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
67,Creative Project,3.54,313.8,1,7.19,4.24,7.88,6.63,4.05,9.4,4.83,0.0032,0.281,3.37,35.21,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
68,Health Checkup,3.02,54.8,4,8.44,-4.29,1.66,3.77,4.56,6.12,3.6,0.0179,0.624,6.23,31.57,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
69,Fitness,5.22,111.3,6,9.48,0.0,4.94,1.72,0.48,4.89,3.9,0.0089,0.312,8.28,50.35,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
70,Career Choice,1.23,83.9,10,8.52,0.75,9.51,10.0,4.12,3.43,1.36,0.0118,1.48,0.0,0.01,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
71,Studying,5.23,238.0,4,2.63,0.85,6.35,5.43,0.77,4.13,4.0,0.0042,2.948,4.57,54.07,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
72,Creative Project,1.94,59.1,6,7.24,-2.12,9.45,8.32,3.41,5.09,3.83,0.0166,1.656,1.68,16.45,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
73,Career Choice,2.04,282.1,8,8.42,-4.99,8.69,5.16,0.56,5.67,6.6,0.0035,1.264,4.84,55.51,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
74,Finance,6.63,277.5,3,3.4,-3.69,2.88,8.93,3.04,1.26,6.67,0.0036,1.98,1.07,64.4,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
75,Studying,7.39,113.8,0,5.97,-4.07,9.92,9.22,2.9,2.06,8.49,0.0087,0.0,0.78,18.82,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
76,Finance,9.39,106.9,11,3.46,3.35,9.8,3.19,3.42,4.45,9.3,0.0093,7.194,6.81,71.93,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
77,Health Checkup,7.72,50.3,1,3.49,2.9,4.15,9.41,3.17,8.38,3.55,0.0195,0.651,0.59,34.11,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
78,Career Choice,8.54,211.9,10,5.41,-3.51,5.39,4.11,3.42,5.89,5.1,0.0047,4.59,5.89,74.58,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
79,Career Choice,8.83,358.0,3,6.15,-2.66,7.76,1.39,4.53,7.35,8.3,0.0028,1.155,8.61,82.46,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
80,Finance,9.9,289.3,10,9.83,-0.05,0.37,5.52,3.64,8.83,8.87,0.0034,0.17,4.48,84.54,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
81,Finance,1.9,332.4,0,7.5,-0.9,6.55,2.39,2.95,9.72,4.05,0.003,0.0,7.61,48.25,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
82,Creative Project,4.58,29.8,5,8.67,3.59,3.8,3.85,4.38,7.83,8.85,0.0325,0.665,6.15,32.14,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
83,Fitness,6.56,86.1,10,9.29,4.97,7.47,4.91,0.82,6.7,8.85,0.0115,0.71,5.09,50.2,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
84,Finance,2.5,109.7,0,1.41,2.96,2.93,4.37,1.09,5.78,6.09,0.009,0.0,5.63,43.83,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
85,Studying,2.53,29.3,6,6.58,-2.59,9.13,2.29,2.9,3.29,3.3,0.033,2.052,7.71,15.84,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
86,Fitness,9.09,170.1,4,7.1,-3.42,4.42,4.11,3.63,6.75,4.82,0.0058,1.16,5.89,55.18,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
87,Career Choice,5.11,110.6,6,8.68,-3.93,3.81,4.23,1.95,7.29,1.2,0.009,0.792,5.77,44.73,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
88,Creative Project,4.56,3.5,10,8.0,4.74,9.11,7.71,5.04,9.13,7.98,0.2222,2.0,2.29,34.64,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
89,Studying,6.46,128.9,10,2.71,-2.49,7.56,7.91,4.16,2.23,1.87,0.0077,7.29,2.09,54.63,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
90,Creative Project,6.82,113.1,7,1.3,-1.35,1.31,9.19,2.13,4.74,2.81,0.0088,6.09,0.81,63.05,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
91,Health Checkup,8.89,133.9,8,9.22,3.3,2.57,8.42,3.02,8.26,7.72,0.0074,0.624,1.58,60.04,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
92,Career Choice,8.24,171.2,1,2.27,4.67,8.6,7.52,5.88,9.71,8.24,0.0058,0.773,2.48,52.79,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
93,Career Choice,1.81,144.3,4,5.83,-0.45,6.73,7.05,3.61,8.4,9.46,0.0069,1.668,2.95,35.64,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
94,Fitness,7.07,172.4,9,8.96,0.61,9.15,2.99,0.61,8.41,9.18,0.0058,0.936,7.01,65.9,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
95,Career Choice,6.84,43.0,0,9.52,-1.96,4.93,1.87,5.35,2.22,5.08,0.0227,0.0,8.13,14.74,Low,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
96,Creative Project,9.54,254.4,8,4.77,2.42,1.55,4.73,0.82,5.4,4.67,0.0039,4.184,5.27,93.96,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
97,Career Choice,1.29,135.6,7,5.0,-2.64,3.63,9.83,2.36,9.12,6.8,0.0073,3.5,0.17,46.49,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
98,Fitness,4.58,69.7,1,9.54,3.24,0.92,2.91,3.93,9.74,1.46,0.0141,0.046,7.09,21.15,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
99,Career Choice,3.19,46.4,9,2.85,3.3,5.54,6.28,4.93,3.1,7.97,0.0211,6.435,3.72,45.12,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
100,Health Checkup,1.03,313.4,2,9.89,0.4,7.99,1.99,5.23,2.19,4.22,0.0032,0.022,8.01,18.34,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
101,Studying,6.3,6.3,4,1.47,2.42,5.26,7.71,2.99,8.0,5.62,0.137,3.412,2.29,48.34,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
102,Fitness,5.07,81.3,9,1.39,2.83,8.67,5.69,2.88,9.68,1.55,0.0122,7.749,4.31,55.77,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
103,Finance,8.63,155.9,1,5.41,4.1,0.73,1.73,3.75,1.59,3.48,0.0064,0.459,8.27,45.27,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
104,Creative Project,6.27,260.1,6,9.95,0.31,4.54,6.45,0.82,7.32,8.68,0.0038,0.03,3.55,54.65,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
105,Creative Project,8.9,201.5,3,4.87,3.88,4.14,8.45,2.54,7.57,3.81,0.0049,1.539,1.55,57.07,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
106,Career Choice,6.99,136.9,2,7.18,-0.26,0.91,1.77,2.73,7.7,4.35,0.0073,0.564,8.23,53.75,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
107,Studying,6.01,214.3,8,6.06,1.7,4.11,8.86,5.66,4.81,9.24,0.0046,3.152,1.14,61.2,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
108,Fitness,9.72,219.3,5,1.93,0.07,1.55,5.34,5.12,4.15,6.01,0.0045,4.035,4.66,80.59,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
109,Fitness,7.86,209.8,12,4.86,0.61,7.67,6.6,4.13,6.01,6.48,0.0047,6.168,3.4,68.33,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
110,Creative Project,8.47,98.0,2,3.46,2.62,9.22,4.16,1.29,2.29,6.92,0.0101,1.308,5.84,38.27,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
111,Fitness,2.28,231.3,0,1.83,0.3,3.76,5.08,1.16,3.8,3.92,0.0043,0.0,4.92,39.93,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
112,Health Checkup,6.37,322.5,2,2.42,1.18,6.74,3.45,4.06,5.37,4.98,0.0031,1.516,6.55,61.86,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
113,Career Choice,2.94,187.3,5,4.87,-2.17,6.78,5.38,4.09,1.41,4.56,0.0053,2.565,4.62,35.71,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
114,Health Checkup,1.49,75.0,3,7.91,2.64,2.89,2.08,3.11,4.88,2.16,0.0132,0.627,7.92,18.75,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
115,Health Checkup,7.33,182.8,10,8.26,-4.28,8.62,1.38,0.36,9.29,8.76,0.0054,1.74,8.62,84.36,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
116,Health Checkup,4.86,147.9,10,4.76,-3.85,0.21,3.92,4.86,6.56,8.49,0.0067,5.24,6.08,75.87,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
117,Career Choice,1.79,308.3,3,4.92,-1.0,0.79,8.83,4.54,2.99,8.01,0.0032,1.524,1.17,32.7,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
118,Fitness,5.59,42.1,8,2.75,2.76,3.51,9.62,3.96,2.33,1.93,0.0232,5.8,0.38,34.84,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
119,Career Choice,2.78,220.1,12,7.83,-4.25,9.51,6.65,2.92,6.07,6.22,0.0045,2.604,3.35,47.1,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
120,Creative Project,9.32,206.3,10,9.88,-1.77,9.71,3.85,2.78,5.22,6.68,0.0048,0.12,6.15,59.02,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
121,Career Choice,6.32,128.8,1,3.79,-0.48,0.57,8.49,0.69,8.78,8.7,0.0077,0.621,1.51,57.37,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
122,Health Checkup,6.35,140.6,9,5.99,2.92,8.96,5.05,4.91,6.87,3.89,0.0071,3.609,4.95,49.42,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
123,Finance,5.51,349.6,7,1.93,3.99,3.43,7.43,3.15,2.55,3.23,0.0029,5.649,2.57,60.04,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
124,Finance,9.92,191.5,9,2.43,-1.27,2.83,4.68,2.2,6.38,8.1,0.0052,6.813,5.32,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
125,Creative Project,4.01,120.7,8,7.11,-2.16,7.24,6.91,5.46,8.86,4.0,0.0082,2.312,3.09,45.53,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
126,Health Checkup,6.97,334.7,4,9.71,1.98,3.92,6.36,5.64,3.79,4.39,0.003,0.116,3.64,44.54,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
127,Career Choice,8.32,244.8,11,9.97,4.12,0.93,7.03,3.17,1.16,3.78,0.0041,0.033,2.97,58.23,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
128,Studying,4.08,279.8,3,3.04,-3.62,0.77,8.6,0.83,7.94,8.52,0.0036,2.088,1.4,74.33,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
129,Health Checkup,1.34,123.3,12,6.56,0.97,1.54,2.63,4.23,6.62,9.12,0.008,4.128,7.37,79.26,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
130,Creative Project,4.94,150.3,10,7.48,4.7,6.11,7.77,4.76,3.11,3.15,0.0066,2.52,2.23,38.12,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
131,Finance,9.14,71.2,10,9.52,4.84,4.62,3.54,2.45,5.75,9.7,0.0139,0.48,6.46,66.97,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
132,Studying,8.21,50.9,4,1.47,-0.19,3.71,9.41,4.34,5.64,2.12,0.0193,3.412,0.59,40.65,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
133,Fitness,7.87,99.9,8,2.33,-0.63,9.46,3.0,2.84,4.15,1.24,0.0099,6.136,7.0,55.75,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
